"Lot.Frontage","Lot.Area","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Mas.Vnr.Area","Bsmt.Unf.SF","Total.Bsmt.SF","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","TotRms.AbvGrd","Fireplaces","Garage.Yr.Blt","Garage.Cars","Garage.Area","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Pool.Area","Misc.Val","Mo.Sold","Yr.Sold","SalePrice"
100,12552,7,5,2004,2005,0,769,991,991,956,0,0,0,2,1,3,1,8,1,2004,2,678,0,136,0,0,0,0,0,5,2010,254.9
84,10440,6,5,2005,2005,0,54,1468,1468,0,0,1,0,2,0,2,1,6,1,2005,2,528,0,102,0,0,216,0,0,5,2010,271.5
76,10142,7,5,2004,2004,0,300,956,956,1128,0,1,0,2,1,4,1,8,0,2004,2,618,0,45,0,0,0,0,0,1,2010,233
70,11920,7,5,2004,2004,122,831,831,831,828,0,0,0,2,1,3,1,8,0,2004,2,484,144,68,0,0,0,0,0,4,2010,181
50,8012,6,5,1980,1980,0,261,923,923,0,0,0,0,2,0,2,1,5,1,1980,1,264,80,0,0,0,0,0,0,5,2010,143
70,11218,6,5,1992,1992,0,1055,1055,1055,790,0,0,0,2,1,3,1,8,1,1992,2,462,635,104,0,0,0,0,400,5,2010,189
55,7892,6,5,1979,1979,0,918,918,918,0,0,0,0,2,0,2,1,5,1,1979,1,264,28,0,0,0,0,0,0,4,2010,99.5
50,7175,6,5,1984,1984,0,0,744,752,0,0,1,0,1,0,2,1,4,0,1984,1,264,353,0,0,0,90,0,0,2,2010,125
81,9672,6,5,1984,1985,0,702,1040,1097,0,0,0,0,2,0,3,1,6,0,1986,2,480,0,0,0,0,0,0,0,5,2010,152
70,8400,6,6,1980,1981,130,650,650,888,676,0,0,0,2,1,3,1,7,1,1980,2,476,0,50,0,0,204,0,0,4,2010,171
70,9800,5,5,1920,1950,0,816,816,1012,0,0,0,0,1,0,2,1,5,0,1920,1,429,121,0,80,0,0,0,0,4,2010,67.5
68,8930,6,5,1978,1978,0,0,0,1318,584,0,0,0,2,0,4,2,8,0,1978,2,539,0,0,0,0,0,0,0,4,2010,112
88,11782,5,7,1961,1995,0,210,1109,1155,0,0,1,0,1,0,3,1,6,0,1987,2,576,192,0,0,0,0,0,400,6,2010,148
65,8450,5,8,1965,2009,0,224,894,894,0,0,1,0,1,0,3,1,5,1,1973,1,336,416,144,0,0,0,0,0,4,2010,138.5
75,7500,5,5,1963,1963,0,216,1040,1040,0,0,1,0,1,1,3,1,5,0,1963,1,308,0,0,220,0,0,0,0,6,2010,133
39,15410,6,6,1974,2002,250,223,1208,1494,0,0,1,0,2,0,3,1,7,2,1974,2,461,296,0,186,0,0,0,0,4,2010,169
107,10186,7,5,1992,1992,0,76,750,1061,862,0,1,0,2,1,3,1,8,1,1992,2,564,240,39,0,0,0,0,0,6,2010,190
85,13143,8,5,1993,1993,504,0,1231,1251,1098,0,1,0,2,1,4,1,9,1,1993,3,762,32,130,0,0,0,0,0,6,2010,362.5
88,11134,8,5,1992,1993,180,261,1390,1402,823,0,1,0,2,1,4,1,7,1,1992,3,713,198,30,0,0,0,0,0,6,2010,285
25,4835,7,5,2004,2005,0,190,1488,1488,0,0,1,0,2,0,2,1,6,1,2004,2,506,168,50,0,0,0,0,0,3,2010,260
39,3515,7,5,2004,2004,0,840,840,840,840,0,0,0,2,1,2,1,3,0,2004,2,588,0,111,0,0,0,0,0,1,2010,190
30,3215,7,5,2004,2004,120,320,600,600,600,0,0,0,2,1,2,1,4,0,2004,2,480,0,172,0,0,0,0,0,4,2010,155
30,3182,7,5,2004,2005,0,600,600,600,600,0,0,0,2,1,2,1,4,0,2004,2,480,0,172,0,0,0,0,0,6,2010,151
24,2544,7,5,2004,2005,0,190,600,600,600,0,1,0,2,1,2,1,4,0,2004,2,480,0,172,0,0,0,0,0,2,2010,149.5
24,2544,6,5,2005,2005,216,224,600,600,636,0,1,0,2,1,2,1,4,0,2005,2,480,0,166,0,0,0,0,0,5,2010,152
24,2572,7,5,1999,1999,0,92,696,696,720,0,1,0,2,1,3,1,6,0,1999,2,484,0,44,0,0,0,0,0,5,2010,155
57,12853,8,5,2010,2010,0,610,1642,1418,0,0,1,0,1,1,1,1,6,1,2010,3,852,160,192,0,224,0,0,0,4,2010,267.916
68,7379,8,5,2000,2000,0,491,975,975,873,0,1,0,2,1,3,1,7,1,2000,2,592,280,184,0,0,0,0,0,4,2010,254
30,4420,8,5,1980,1980,0,0,728,788,0,0,1,0,1,0,1,1,3,1,1980,2,484,133,42,0,0,0,0,0,6,2010,155
40,3880,8,6,1978,1978,0,174,1226,1226,0,0,1,0,1,0,1,1,4,1,1978,2,484,223,78,0,0,0,0,0,1,2010,206
80,8000,7,5,2002,2002,0,659,1492,1492,0,0,1,0,2,0,3,1,6,1,2002,2,596,277,137,0,0,0,0,0,4,2010,230
80,10791,6,5,1993,1993,0,143,1280,1280,1215,0,1,0,2,1,4,1,9,1,1993,2,660,224,32,0,0,0,0,0,3,2010,243.5
80,10421,7,5,1988,1988,42,586,980,980,734,0,0,0,2,1,3,1,7,1,1988,2,496,228,66,156,0,0,0,500,3,2010,196.5
78,9360,6,7,1972,2006,0,179,1161,1381,0,0,1,0,1,1,3,1,5,1,1972,2,676,0,0,0,0,0,0,0,3,2010,197.5
80,9600,6,6,1971,1971,0,386,715,930,715,0,0,0,1,2,4,1,7,0,1971,2,441,0,78,0,0,0,0,0,6,2010,171
80,9600,5,5,1966,1966,172,534,1232,1232,0,0,1,0,1,1,3,1,6,0,1966,2,490,0,224,0,0,0,0,0,4,2010,142.25
90,9900,5,5,1966,1966,0,150,1209,1209,0,0,1,0,1,0,3,1,6,0,1966,2,504,0,0,120,0,0,0,0,4,2010,159
88,9680,5,6,1967,1967,268,500,1510,1510,0,0,1,0,2,0,3,1,6,0,1967,2,517,0,40,0,0,204,0,0,4,2010,178.9
80,8800,6,7,1963,1963,156,173,936,1054,0,0,1,0,1,0,3,1,6,0,1963,2,480,120,0,0,0,0,0,0,5,2010,137.5
68,9717,5,6,1950,1996,0,0,1078,1078,0,0,1,0,1,0,2,1,5,0,1950,1,240,366,0,112,0,0,0,0,4,2010,142.125
68,9724,5,7,1952,2002,265,470,1140,1929,532,0,0,0,2,0,3,1,7,2,1994,2,400,0,0,0,0,0,0,0,3,2010,197.6
120,17360,6,6,1949,1950,340,482,782,1019,537,0,0,0,2,0,3,1,6,1,1949,2,470,0,0,150,0,0,0,0,1,2010,172.5
80,9920,5,5,1954,1954,110,412,1056,1063,0,0,1,0,1,0,3,1,6,0,1954,1,280,0,0,164,0,0,0,0,2,2010,128
80,9600,6,6,1955,1972,164,350,1156,1520,0,0,1,0,1,0,3,1,7,2,1955,1,364,0,0,189,0,0,0,0,3,2010,153
78,7800,5,6,1954,1954,200,728,1268,1268,0,0,0,0,1,0,2,1,7,1,1954,1,244,0,98,0,0,0,0,0,3,2010,132
75,11380,6,8,1966,2008,216,136,1080,1128,0,0,1,0,1,0,2,1,5,1,1966,1,315,238,0,0,0,0,0,1500,1,2010,178
80,11600,5,5,1960,1960,361,662,1105,1105,1169,0,0,0,2,0,5,2,12,0,1960,2,480,0,0,0,0,0,0,0,1,2010,154.3
137,16492,6,6,1966,2002,0,557,1517,1888,0,0,0,0,2,1,2,1,6,1,1966,2,578,0,0,0,0,0,0,0,6,2010,190
70,8267,5,5,1958,1958,0,1604,1604,1604,0,0,0,0,2,0,4,2,8,0,1958,2,576,42,0,0,0,0,0,0,3,2010,135
70,8197,7,5,2003,2009,506,292,1480,1480,0,0,1,0,2,0,3,1,7,0,2003,2,620,252,73,0,0,0,0,300,2,2010,214
70,10552,5,5,1959,1959,0,380,1398,1700,0,0,0,1,1,1,4,1,6,1,1959,2,447,0,38,0,0,0,0,0,4,2010,165.5
70,8400,5,6,1957,1957,0,392,1314,1314,0,0,1,0,1,0,3,1,5,0,1957,1,294,250,0,0,0,0,0,0,6,2010,145
73,8760,6,6,1959,1959,220,1194,1194,1194,0,0,1,0,1,0,3,1,6,0,1959,1,312,0,0,120,0,0,0,0,4,2010,148
73,9300,5,5,1960,1960,324,571,1268,1264,0,0,1,0,1,0,3,1,6,2,1960,2,461,0,0,0,0,143,0,0,4,2010,167.5
87,10725,5,5,1959,1959,91,270,1206,1206,0,0,0,0,1,0,3,1,6,0,1959,1,312,0,21,0,0,0,0,0,5,2010,108.538
80,10032,6,5,1959,1959,432,510,1244,1580,0,0,1,0,1,1,3,1,6,2,1956,2,440,0,28,0,0,160,0,0,6,2010,159.5
60,8382,4,5,1956,1956,0,832,832,832,505,0,0,0,1,0,3,1,5,0,1956,1,263,0,0,0,0,0,0,0,2,2010,108
60,10950,5,7,1952,1952,0,525,864,1064,0,0,0,1,1,0,2,1,4,0,1952,1,318,0,0,0,0,0,0,0,5,2010,135
119,10895,5,6,1955,1955,0,324,972,972,0,0,0,0,1,0,3,1,5,0,1955,1,305,0,0,205,0,0,0,0,6,2010,122.5
70,13587,5,5,1958,1958,0,456,988,988,0,0,1,0,1,0,2,1,5,0,1958,1,264,0,0,0,0,0,0,0,4,2010,119
68,7922,5,7,1953,2007,0,326,1057,1057,0,0,1,0,1,0,3,1,5,0,1953,1,246,0,52,0,0,0,0,0,1,2010,109
65,7898,4,7,1920,1994,0,576,576,985,0,0,0,1,1,0,2,1,4,0,1989,2,676,0,0,0,0,0,0,0,4,2010,105
60,7200,5,7,1955,2007,0,0,0,827,0,0,0,0,1,0,2,1,5,1,1967,1,392,0,0,0,0,0,0,0,4,2010,107.5
85,10200,5,7,1954,2003,104,404,1086,1086,0,0,1,0,1,0,3,1,6,0,1989,2,490,0,0,0,0,0,0,0,5,2010,144.9
74,5868,5,7,1956,2000,0,448,936,936,0,0,1,0,1,0,2,1,4,0,1956,1,308,0,0,80,0,160,0,0,5,2010,129
78,17503,6,5,1948,1950,0,912,912,912,546,0,0,1,1,0,3,1,6,1,1948,1,330,192,0,0,0,0,0,0,1,2010,97.5
64,6979,6,5,1980,1980,0,0,1056,1056,0,0,2,0,0,0,0,2,4,0,1980,2,576,264,56,0,0,0,0,600,6,2010,144
96,11275,7,7,1967,2007,300,710,710,1898,1080,0,0,0,2,1,5,1,11,1,1961,2,564,240,0,0,0,0,0,0,6,2010,242
60,8064,6,8,1948,2004,0,161,816,816,408,0,1,0,1,0,3,1,5,0,1950,1,280,414,0,0,0,0,0,0,5,2010,132
75,7500,5,7,1959,1994,0,0,1246,1246,0,0,1,0,1,1,3,1,6,0,1959,1,305,218,0,0,0,0,0,0,5,2010,154
71,8520,5,4,1952,1952,0,403,910,910,475,0,0,0,2,0,4,1,6,0,2000,2,720,0,0,0,0,0,0,0,6,2010,166
60,7200,5,7,1951,2000,0,180,900,900,0,0,0,1,1,0,3,1,5,0,2005,2,576,222,32,0,0,0,0,0,5,2010,134.8
87,10000,6,6,1962,1962,261,1116,1116,1116,0,0,0,0,1,1,3,1,5,0,1962,2,440,0,0,0,0,385,0,0,2,2010,160
81,7635,5,6,1960,1960,0,237,1175,1175,0,0,0,0,1,1,3,1,6,0,1960,2,484,0,0,0,0,0,0,0,6,2010,148
80,9760,6,7,1963,1984,218,415,1395,1395,0,0,1,0,1,0,2,1,7,1,1963,2,440,657,0,113,0,240,0,0,5,2010,192
70,7700,6,5,1966,1966,351,756,756,1051,788,0,0,0,1,1,4,1,7,1,1966,2,442,0,124,216,0,0,0,0,6,2010,155
60,4800,4,5,1900,1954,771,661,709,1157,687,0,1,0,1,0,3,1,9,2,1900,1,240,84,0,0,0,0,0,0,1,2010,80.4
56,8960,5,6,1927,1950,0,1008,1008,1028,0,0,0,0,1,0,2,1,5,1,1927,2,360,0,0,130,0,0,0,0,3,2010,115
69,5805,5,7,1957,1957,0,0,1347,1347,0,0,1,1,1,0,3,1,6,0,1957,2,551,0,0,0,0,0,0,0,6,2010,143
60,5790,3,6,1915,1950,0,840,840,840,765,0,0,0,2,0,3,2,8,0,1915,1,379,0,0,202,0,0,0,0,5,2010,107.4
47,4608,4,6,1945,1950,0,747,747,747,0,0,0,0,1,0,2,1,4,0,1945,1,220,0,0,0,0,0,0,0,6,2010,80
60,7200,5,7,1940,1992,294,278,788,804,0,0,1,0,1,0,2,1,4,2,1940,1,240,0,0,154,0,0,0,0,2,2010,119
50,5500,5,7,1929,2001,0,0,926,926,0,390,1,0,1,0,3,1,6,0,1974,2,484,0,0,0,0,0,0,0,4,2010,130
50,6900,6,7,1938,2000,0,827,827,827,424,0,0,0,1,0,3,1,6,0,1938,1,240,0,0,0,0,0,0,0,1,2010,119
69,11851,5,7,1948,2009,0,247,1027,1027,606,0,0,0,1,0,3,1,7,1,1948,1,240,0,100,126,0,0,0,0,6,2010,129
68,9656,2,2,1923,1970,0,678,678,832,0,0,0,0,1,0,2,1,5,1,1928,2,780,0,0,0,0,0,0,0,6,2010,12.789
60,8520,6,8,1928,2003,0,624,624,720,0,0,0,0,1,0,2,1,5,0,2005,2,484,106,0,0,0,0,0,0,5,2010,105.9
60,9600,8,9,1900,2003,0,930,930,930,636,0,0,0,2,0,3,1,7,0,1930,1,288,54,228,246,0,0,0,0,4,2010,150
60,10800,5,6,1915,1950,0,0,686,966,686,0,1,0,2,0,4,1,7,0,1961,1,416,0,0,196,0,0,0,1200,6,2010,139
50,9000,8,9,1890,2002,0,346,346,1157,1111,0,0,0,3,0,3,1,7,0,2003,2,624,0,108,0,0,0,0,0,4,2010,240
90,7407,6,7,1957,1996,0,312,912,1236,0,0,1,0,1,0,2,1,6,0,1957,2,923,0,158,158,0,0,0,0,4,2010,149.7
60,7740,4,7,1910,1950,0,622,622,741,622,0,0,0,1,0,3,1,6,0,1966,2,528,0,0,0,0,168,0,0,6,2010,125.5
60,11340,4,6,1885,1950,0,777,777,1246,1044,0,0,0,2,0,4,2,11,0,1971,2,560,0,0,114,0,0,0,0,4,2010,122.5
60,10560,6,7,1922,1994,0,455,738,868,602,0,0,0,1,1,2,1,6,0,1970,2,624,0,0,0,0,0,0,0,6,2010,140.75
53,5830,5,6,1950,1997,0,200,988,1030,582,0,0,0,1,1,3,1,7,0,1950,1,363,0,0,0,0,0,0,0,3,2010,128.5
50,5000,4,7,1925,1950,0,577,765,765,0,0,1,0,1,0,2,1,4,0,1926,1,200,135,0,41,0,0,0,0,4,2010,87
50,6000,6,7,1939,1950,0,144,608,608,524,0,1,0,1,0,2,1,5,0,1939,1,240,0,0,128,0,0,0,0,4,2010,134
50,6000,6,6,1940,1950,0,308,572,848,348,0,0,1,1,1,3,1,6,2,1973,2,576,0,0,0,0,0,0,0,3,2010,128
53,6360,5,6,1942,1950,300,316,835,955,498,0,0,0,1,1,3,1,7,2,1942,1,240,0,0,35,0,148,0,0,3,2010,132
50,6000,6,7,1948,1950,0,480,780,780,636,0,0,0,1,1,3,1,6,0,1948,1,312,221,0,48,0,0,0,0,3,2010,139.9
52,6240,5,7,1936,1980,0,252,528,548,492,0,0,0,1,0,2,1,5,0,1979,2,624,306,0,32,0,0,0,0,5,2010,123.9
52,6240,5,5,1930,1950,0,480,928,928,608,0,0,0,2,0,4,1,7,1,1930,2,480,0,10,0,0,0,0,0,3,2010,138.4
51,6120,6,5,1923,1950,0,164,1124,1068,0,0,1,0,1,0,2,1,5,1,1923,1,288,0,0,128,0,0,0,0,3,2010,109.5
50,10300,7,6,1921,1950,0,576,576,902,808,0,0,0,2,0,3,1,9,0,1990,2,480,12,11,64,0,0,0,0,4,2010,140
57,8094,4,5,1915,1950,0,888,888,888,1074,0,0,0,1,1,4,1,9,1,1915,2,572,160,0,364,0,0,0,0,6,2010,149.5
52,3068,6,8,1920,1993,0,662,662,662,662,0,0,1,1,0,3,1,6,0,1920,1,180,0,0,112,0,0,0,0,2,2010,122
110,8472,5,5,1963,1963,0,0,816,816,0,0,1,0,1,0,2,1,5,0,1963,2,516,106,0,0,0,0,0,0,5,2010,110
76,7630,5,9,1900,1996,0,360,360,1032,780,0,0,0,2,0,4,2,8,1,1999,2,672,344,0,40,0,0,0,0,5,2010,140
100,15263,5,5,1959,1959,90,656,1422,1675,0,0,0,0,2,0,3,1,8,2,1959,1,365,0,132,0,0,0,0,0,5,2010,173
72,10632,5,3,1917,1950,0,689,689,725,499,0,0,0,1,1,3,1,6,0,1917,1,180,0,0,248,0,0,0,0,1,2010,107.5
65,6001,6,5,1940,1950,0,232,600,600,319,0,0,0,1,0,3,1,5,0,1940,1,231,0,0,45,0,0,0,0,3,2010,95
60,6048,5,7,1910,1950,0,120,856,936,744,0,1,0,2,0,2,2,7,1,1910,2,450,56,144,0,0,0,0,0,6,2010,114.9
75,11625,5,4,1965,1965,0,198,1039,1039,0,0,1,0,1,1,3,1,6,0,1965,2,504,0,0,0,0,0,0,0,4,2010,131.5
70,8521,5,5,1967,1967,0,70,912,912,0,0,0,0,1,0,3,1,5,1,1974,1,336,0,0,0,0,0,0,0,5,2010,125
65,7800,5,7,1966,2008,47,150,864,892,0,0,1,0,1,0,3,1,5,0,1966,1,416,0,0,0,0,0,0,0,6,2010,137.9
80,9364,6,7,1969,1969,143,292,663,663,689,0,0,0,1,1,4,1,7,0,1969,1,299,379,36,0,0,0,0,0,3,2010,158
65,7832,5,5,1968,1968,0,89,864,864,0,0,1,0,1,0,2,1,4,0,1969,1,280,226,0,0,0,0,0,0,5,2010,137.25
86,11227,5,5,1968,1968,0,0,720,720,720,0,0,0,1,1,4,1,7,2,1968,2,480,192,38,0,0,0,0,0,3,2010,163
80,14000,7,5,1996,1997,0,105,1306,1306,954,0,1,0,2,1,3,1,7,0,1996,2,533,296,44,0,0,0,0,0,4,2010,328
94,9259,4,4,1927,1950,0,660,660,756,0,0,0,0,1,0,2,1,4,0,1945,2,440,80,0,0,0,0,0,0,6,2010,85
60,9600,4,7,1950,1995,0,625,1067,1067,0,0,0,0,2,0,2,1,4,0,1996,2,436,290,0,0,0,0,0,0,2,2010,128
124,18600,3,4,1938,1990,0,0,972,1052,558,0,0,1,2,0,4,1,8,1,1938,1,480,0,0,60,0,0,0,450,6,2010,124
85,10625,5,5,1920,1950,0,350,458,835,0,0,0,0,1,0,2,1,5,0,1920,1,366,0,0,77,0,0,0,400,5,2010,83
